Time,Tweet,Likes
2022-12-15 18:40:44+00:00,"தம்பி 🫂 @valimaipandees ❤️🔥
Proud Of You da 💗😽
#Ajithkumar #Thunivu #ChillaChilla https://t.co/E1Px5Y20J8",0
2022-12-15 18:40:41+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:40:38+00:00,"
Hi
Ou flight LH755 from Bangalore delayed badly. We have a connecting flight from FRA to Sweden by Lufthansa which w…",0
2022-12-15 18:39:53+00:00,"When the #IT industry in India is expected to grow in double digits, Indian techies should be optimistic about their future.…",0
2022-12-15 18:39:32+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:39:20+00:00,TimesNow My friend got thrashed in Bangalore for giving a ride to a muz colleague,0
2022-12-15 18:39:13+00:00,TNNavbharat @yrf @iamsrk @SRKUniverse @teamsrkfc @TeamSRKWarriors @SRK_FC @RedChilliesEnt @_GauravVerma @ShahRukhKhan_FC @WeSupport_SRK @SRKFC_PUNE @Srk_bangalore movie is haram in Islam.,0
2022-12-15 18:39:11+00:00,"Looking for a flatmate/roommate in hsr layout, Bangalore 
Please help me with the leads

#peakbangalore @peakbengaluru…",0
2022-12-15 18:39:00+00:00,"NimmaShivanna @ArjunJanyaMusic Have a safe trip back to Bangalore Mr.Handsome Hodophile🚘😊
@KicchaSudeep ❤
#Ki…",0
2022-12-15 18:38:49+00:00,"Skills Hunt Consultancy is urgently looking for #AEM #Front #End #Developer &amp; #Android #Developer for #Chennai &amp; #Bengaluru.

Positions &amp; Details:

1. #AEM #front #end with any UI skills – 4 plus years in #Chennai or $Bangalore

2. #Kotlin with #Andriod a…https://t.co/oNwntElNz9",0
2022-12-15 18:38:36+00:00,"olunteer from Bangalore has zero alimony settlement at Supreme Court today. Gets child access also.

Even though c…",0
2022-12-15 18:38:25+00:00,#AAI takes pride in stretching duty hours for a new year's gift to #FlyKLH. Promoting a new connection to far south to…,0
2022-12-15 18:38:12+00:00,"Pink panthers 💗 
Hold the bulls so tight that Bangalore bulls team is  unable to take a point...😞

But Bangalore bulls…",0
2022-12-15 18:38:11+00:00,"💥There will be multi-pronged attack on the IT outsourcing verticals in India of Bangalore, Chennai, Pune, Hyderabad, Mumba…",0
2022-12-15 18:37:16+00:00,"""We don't nourish cows, in fact, Gaay Humein Paalti Hai.""~Sant Shri Asharamji Bapu

#Ashram #Trust #Bengaluru conducted a Ga…",0
2022-12-15 18:37:06+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:36:54+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:36:23+00:00,"16/12/2022 00:06

Air Temperature: 23.7°C
Real Feel Temperature: 24.3°C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9°C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb

#Bengaluru #Bangalore #ಬೆಂಗಳೂರು",0
2022-12-15 18:36:23+00:00,"Bangalore - Most Of Theaters Demanding #Thunivu in Chamber 

{ Ka-Rights Business in Talks } C-Base Terms https://t.co/fcjX…",0
2022-12-15 18:36:14+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:35:52+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:35:24+00:00,"NimmaShivanna @ArjunJanyaMusic Have a safe trip back to Bangalore Mr.Handsome Hodophile🚘😊
@KicchaSudeep ❤
#KicchaEntersHisFortDurga #KicchaBOSS𓃵 #KicchaSudeep https://t.co/VIumpl13oq",5
2022-12-15 18:35:02+00:00,"Let’s make sure everyone is aware of who contributed to the Bangalore-Mysore highway.
It was sanctioned during Shri Osca…",0
2022-12-15 18:34:59+00:00,"Redgiant Right Now~
#Thunivu 🔥 https://t.co/2xzYx0aPQt",0
2022-12-15 18:34:52+00:00,"6 months in bangalore come to an end, still have mixed feelings about this city, maybe the opinion might change in my next stint here
#Bangalore #internship #survivor",0
2022-12-15 18:34:37+00:00,"26Th Dec 
Bangalore to hyd train Booked ✅️
28Th Dec 
Hyd to Bangalore train Booked ✅️

30Th Dec Bangalore #Badri Celebratio…",0
2022-12-15 18:34:22+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:34:02+00:00,"#SOS
#Bangalore
Need #Blood Type :  O-positive
Blood Component : Blood 
Number of Units : 2
Primary Number : 8019422402…",0
2022-12-15 18:34:01+00:00,"It is not often that one is part of an iconic marquee event like the Bangalore Tech Summit!

@stpiindia and Shri B V Naidu…",0
2022-12-15 18:33:48+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:33:45+00:00,"olunteer from Bangalore has zero alimony settlement at Supreme Court today. Gets child access also.

Even though c…",0
2022-12-15 18:33:20+00:00,Still Different 😎👑 #Thunivu https://t.co/xQeIQF3le3,0
2022-12-15 18:33:20+00:00,tarted in Bangalore only,0
2022-12-15 18:33:11+00:00,"Hi
My self Sk Dilbahar Hossain from India , Bangalore ,  I knew and found something about prophecy in our up coming human life and feature , I found this prophecy from 2010 , and continues I am writing on that I did not  complete this Novel , I am writing on that",0
2022-12-15 18:33:02+00:00,"‘Need to extend forest reserve travel ban time’
https://t.co/AdKCAFKQn2",0
2022-12-15 18:32:26+00:00,My world 😍❤ #AjithKumar 🥰 https://t.co/Pbeb2UnxgQ,0
2022-12-15 18:32:14+00:00,"My world,My Love,My Life #AjithKumar 🥰❤ https://t.co/X6H410bodY",0
2022-12-15 18:31:49+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:31:43+00:00,"💥There will be multi-pronged attack on the IT outsourcing verticals in India of Bangalore, Chennai, Pune, Hyderabad, Mumba…",0
2022-12-15 18:31:27+00:00,Our producer: A star movie release day itself a festival - Boney 😎😃 #Thunivu,0
2022-12-15 18:31:12+00:00,"ES so basically in 10th grade when I was in an international boarding school, the ""popular girl"" fell really hard for the alleged ""fat boy"" and the girls from London n the boys from bangalore. After 10th they both left school to their countries but they're still together!!",0
