,Time,Tweet,Analysis
30,"12/23/2022, 18:21:56","The toughest ask for a Chandigarh resident is to shift to Delhi.

People can happily move to US/Canada/Australia from Chd but Delhi - nahhh ✋✋",0.8945
31,"12/23/2022, 18:17:35","Breaking #BiggBoss16   

 #AnkitGupta will be back on #ColorsTV soon, he has been roped in to play the male lead in #SargunMehta and #RaviDubey’s next. He is expected to leave for Chandigarh soon for the shooting",0.296
32,"12/23/2022, 18:15:38","KIYG 2022 (Men’s U18), qualifiers: UP Hockey, Hockey Chandigarh, Hockey MP register win #KIYG #up #hockeyindia https://t.co/HKGZBE5cwT",0.5859
33,"12/23/2022, 18:15:00","Citizens are also requested to always give safe passage to #emergencyvehicles to go by easily and don't pilot or tailgate an #emergencyvehicles.
#WeCareForYou",0.6486
34,"12/23/2022, 18:14:53","causes obstruction in free flow of traffic, traffic congestions, endangering one's own life and life of other life road users by this act of parking vehicle on the road which leads to road crash.",0.1531
35,"12/23/2022, 18:14:40","not park near #busstop, #school #hospitalentrance #cycletrack #UTurn #sliproad #footpath or #zebracrossing. Parking on footpaths forces #pedestrian to walk on the road, making them vulnerable to road crashes. parking vehicles on roads infringes the #rightofway of other #roadusers",-0.2263
36,"12/23/2022, 18:13:56","Today @trafficchd conducted a Special #roadsafetyawareness drive in Sec 08 and Sec 09CHD, regarding proper #parking of #Motorvehicle in the designated #parking area or market parking. #appealing to residents park their motor vehicles inside the front premises of their houses and https://t.co/USCRTxVFOC",0.4019
37,"12/23/2022, 18:13:25",Happy birthday to me 🥺,0.5719
38,"12/23/2022, 18:10:08",this 🤏 close to buying a pair of replica Chandigarh chairs.,0.0
39,"12/23/2022, 18:09:53",@MistressShaifa1 Chandigarh and ludhiana mam full day,0.0
40,"12/23/2022, 18:07:25","@zoyakijaanRD Chandigarh

STOP HUMILIATING SUMBUL",-0.7065
41,"12/23/2022, 17:55:03","Now, check liquor bottle details with mobile app in Punjab https://t.co/YWz9sHFFjV",0.0
42,"12/23/2022, 17:52:10","LIVE Q&amp;A PGI, Chandigarh | COVID-19 Variants and Immunity | Dr Inusha Panigrahi, Prof, Pediatrics
#Covid19 #VariantsandImmunity #TheRightDoctors #TRD #LiveQandA
Link: https://t.co/b9w1x4SyvR",0.0
43,"12/23/2022, 17:47:40","UBS, Panjab University,organized it’s Silver Jubilee &amp; Alumni Meet today. Prof. Raj Kumar, VC, Panjab University was the chief guest &amp; Prof. B.K. Kuthiala, Chairman, Haryana State Higher Education Council was the guest of Honour. Prof. Sanjay Kaushik, Chairperson, UBS informed. https://t.co/P3Lrv1lkm9",0.5719
44,"12/23/2022, 17:43:34","Motor Vehicle Driving Regulation 2017. Citizens are also requested to always give safe passage to #emergencyvehicles to go by easily and don't pilot or tailgate an #emergencyvehicles.
#WeCareForYou",0.6486
45,"12/23/2022, 17:43:00","causes obstruction in free flow of traffic, traffic congestions, endangering one's own life and life of other life road users by this act of parking vehicle on the road which leads to road crash. Citizens were educated about provisions of Rule 3, Rule 5(5), (14) &amp; Rule 22 of the",0.1531
46,"12/23/2022, 17:42:50","not park near #busstop, #school #hospitalentrance #cycletrack #UTurn #sliproad #footpath or #zebracrossing. Parking on footpaths forces #pedestrian to walk on the road, making them vulnerable to road crashes. parking vehicles on roads infringes the #rightofway of other #roadusers",-0.2263
47,"12/23/2022, 17:42:29","Today @trafficchd conducted a Special #roadsafetyawareness drive in Sec 08 and Sec 09CHD, regarding proper #parking of #Motorvehicle in the designated #parking area or market parking. #appealing to residents park their motor vehicles inside the front premises of their houses and https://t.co/pZnJyWtqhD",0.4019
48,"12/23/2022, 17:40:26","@Tushar15_ @SwarajyaMag This route was scenic a decade ago before this expressway started. Though this expressway will benefit economically, I miss those old trees, turns and terrace fields on the way. #Chandigarh",0.34
49,"12/23/2022, 17:37:26",Where can I find the best south Indian food in Chandigarh?,0.6369
50,"12/23/2022, 17:35:16",@Airtel_Presence Thanks for the reply . I hope you know that service disruption is not for my individual account but understand from your call executive that most of the Airtel broadband service in Chandigarh is impacted .,0.2846
51,"12/23/2022, 17:32:43",I had filed issues regarding commencing international flights from Chandigarh and bringing back children to schools who somehow discontinued their education due to Covid 19 disruptions but could not raise these issues as I was not lucky in balloting of notices.,-0.5716
52,"12/23/2022, 17:32:08","Kidney disease research lab opened in PGI Chandigarh  https://t.co/rTBENoteyb

#Kidney #KidneyDisease #ResearchLab #PGI #Chandigarh #PGIChandigarh",0.0
53,"12/23/2022, 17:31:30",@bookingcom i was denied to stay in Hotel Saini @oyorooms .. being a girl traveling 300 kns from Manali to Chandigarh n at this hour of the night i was denied stay as i booked from @bookingcom https://t.co/Wi8euwB0ro,-0.7003
54,"12/23/2022, 17:29:37","@zoyakijaanRD Chandigarh

STOP HUMILIATING SUMBUL",-0.7065
55,"12/23/2022, 17:27:04","#ExclusiveOnTRPNEWS 

#AnkitGupta to play the male lead in #SargunMehta and #RaviDubey next on @ColorsTV 

#AnkitGupta is expected to leave for #Chandigarh to shoot the promo of the show very soon. https://t.co/I2kjFD1BrS",-0.0516
56,"12/23/2022, 17:27:01","@rishuraj_chd @garg_yashpal The Estate Office reception counte shown in news article and SDO (Building Branch) both refusesl to accept letters/applications after 1pm.
Such rule is wrong and not in public interest.
Citizens should be able to submit letters/applications until 5 pm.",-0.4552
57,"12/23/2022, 17:26:34","@netplusofficial @thinknetplus the internet facility is so dumb in Chandigarh, field wale ka phone is always switched off, and call centre ko call Karo ko complaint bhi ni likhte, batao kya kare?",-0.7537
58,"12/23/2022, 17:25:18","10th National Gatka Championship on Dec 24 and 25 at PU Chandigarh  https://t.co/Fw0YObvenp

#Gatka #NationalGatkaChampionship #PU #PanjabUniversity #Chandigarh #NGAI #CGA #NationalGatkaAssociation #NationalGatkaAssociationofIndia #ChandigarhGatkaAssociation @OfficialNGAI",0.0173
59,"12/23/2022, 17:22:28","@flyspicejet on 15 Dec your flight from Gorakhpur three and half hour late due to which my second flight become missed from Delhi to Chandigarh , I mailed to your customercare for compansation but no reply, your service become very poor, your staff miss behave at Delhi Airport",-0.8515
60,"12/23/2022, 17:22:18","@d_stellarqueen He will go to chandigarh obviously kyun ki uska ghar he vaha... 

NO ANKIT NO BIGG BOSS

#AnkitGupta
#priyankit𓃵
#BB16",-0.0803
61,"12/23/2022, 17:10:59",Students of Government Model Senior secondary school visited PEC for brief campus visit coordinated by office of Career Development and Guidance Center. They visited the siemens Centre and the semiconductor lab and had an Interaction by CS Department on new technologies. https://t.co/882IkY2OL7,0.0
62,"12/23/2022, 17:03:43","Motor Vehicle Driving Regulation 2017. Citizens are also requested to always give safe passage to #emergencyvehicles to go by easily and don't pilot or tailgate an #emergencyvehicles.
#WeCareForYou",0.6486
63,"12/23/2022, 17:03:06","causes obstruction in free flow of traffic, traffic congestions, endangering one's own life and life of other life road users by this act of parking vehicle on the road which leads to road crash. Citizens were educated about provisions of Rule 3, Rule 5(5), (14) &amp; Rule 22 of the",0.1531
64,"12/23/2022, 17:02:53","not park near #busstop, #school #hospitalentrance #cycletrack #UTurn #sliproad #footpath or #zebracrossing. Parking on footpaths forces #pedestrian to walk on the road, making them vulnerable to road crashes. parking vehicles on roads infringes the #rightofway of other #roadusers",-0.2263
65,"12/23/2022, 17:02:38","Today @trafficchd conducted a Special #roadsafetyawareness drive in Sec 08 and Sec 09CHD, regarding proper #parking of #Motorvehicle in the designated #parking area or market parking. #appealing to residents park their motor vehicles inside the front premises of their houses and https://t.co/d4UsDQjgHd",0.4019
66,"12/23/2022, 17:01:22",@vineetjoshi Thanks to Hon'ble Governor Punjab &amp; Administrator UT Chandigarh Sh Banwarilal Purohit ji for renominating Vineet Joshi ji to his Advisory Council. https://t.co/mRKeQpswj1,0.4404
67,"12/23/2022, 16:57:42",Education scam unearthed in Punjab | Chandigarh News - Times of India https://t.co/atNn9AUJlb,-0.5719
68,"12/23/2022, 16:55:00","#CabinetDecisions
#Cabinet approves Minimum Support prices for copra for 2023 season

#CabinetDecisions https://t.co/dnsdmZfxY9",0.6597
69,"12/23/2022, 16:52:05","From ensuring that no one goes to bed on an empty stomach to securing the lives of the families of our veterans, here are the highlights of today's #CabinetDecisions https://t.co/ZulvCjO9lk",0.1027
70,"12/23/2022, 16:49:51","Saying they don’t Go to chandigarh. I asked them especially if it goes to chandigarh and they said yes. It’s totally illegal and you people should look into it
@ArvindKejriwal @delhipolice",-0.2944
71,"12/23/2022, 16:49:31","@ArvindKejriwal @DelhiPolice 
Bus services in delhi are not working quite upto the standard. They are charging hefty rates (1100 per person) and then adjusting 2-3 people on one seat (sleeper bus). I booked a bus from delhi to chandigarh and they left me at ambala bus stand  (1)",0.0
72,"12/23/2022, 16:49:30","@ShubhamDimri_ That’s the biggest mistake that pahadis are being pushed to pahad as if all prime &amp; plum locations are mean for refugees and people from outside. In fact instead of going to Delhi Mumbai Chandigarh. Pahadis should settle down in Dehradun, Haridwar Rishikesh, haldwani",-0.34
73,"12/23/2022, 16:45:58","I told you guys aur dekho khabri ke tweets uske acc ankit chandigarh se nikal ke salon m betha hoga fir waha IV dega abhi thodi dair m firse chup karo sab.

fir wapas set se aaigi news ankit world tour karke wapas bb house m pohuch gya .

NO ANKIT NO BIGG BOSS",-0.0803
74,"12/23/2022, 16:45:42","If one has to drive from Jalandhar to Chandigarh, you have to go through at least 5 toll plazas and the cost of a return journey is approximately 700-800 rupees.",0.0
75,"12/23/2022, 16:38:12","Airtel broadband not working since around 11.30 am in Chandigarh . Service recovery time first 3.21 pm , then 6.21, then 9.21 and now ? Please try to fix it and inform customers via SMS if you have such a major service disruption . @airtelindia , @Airtel_Presence",-0.1226
76,"12/23/2022, 16:33:37","@Thechandigarh1 @Thechandigarh1 Sir, thanks for the sharing. Action has been taken on your complaint. Violation ID 24281520 has been issued.",0.0772
77,"12/23/2022, 16:33:06","@laranema004 @laranema004 Sir, thanks for the sharing. Action has been taken on your complaint. Violation ID 24281527 has been issued.",0.0772
78,"12/23/2022, 16:30:41","@urbanjatt0017 @ssptfcchd @urbanjatt0017  sir, kindly send exact date of the violation for action in this regard.",0.0
79,"12/23/2022, 16:30:11","@AshwiniVaishnaw @RailMinIndia @PMOIndia @narendramodi @PIB_India @DDNewslive Doob ke marja, 

If I cant pay my bill on BSNL app from last 4 days. 

No vote to holes like you, In terms of tech congress was better, they reply, they listen they resolve. 

Mark my words, BJP will be kicked out of Chandigarh like anythinh https://t.co/4eEL7FrqZn",0.8223
80,"12/23/2022, 16:29:17",@amshilparaghu Let's pour some hot liquid metal inside and create a masterpiece 😂😂,0.9001
81,"12/23/2022, 16:29:09","@vbalas11 @EtihadHelp Hi,
Yes they did say that but in Delhi they used a local cab driver to send my stuff. They told me they shipped my bag Sunday night and I not got it on Wednesday. Delhi to Chandigarh is just a 4 hour drive.",0.2144
82,"12/23/2022, 16:27:25","I don't want to be sounds like an ass but, she is fighter pilot. 
Hope you all get the point. https://t.co/nBgqlif2sC",0.6296
83,"12/23/2022, 16:26:02",@narendramodi sir age relaxation must be given in Chandigarh police constable recruitment 2023 like SSC GD because since 2105 no notification for this recruitment has been released . It has been 7 years,0.5719
84,"12/23/2022, 16:25:58","There's no family court in Chandigarh, anyone bothered about the plight of the citizens?

@BhallaAjay26 @KirenRijiju @BJP4Chandigarh @AAPChandigarh @SatyaPalJain @KirronKherBJP @PIBChandigarh @thetribunechd @iepunjab @HTPunjab https://t.co/SKpOGRWrjn",-0.5423
85,"12/23/2022, 16:24:47",Airtel broadband down in Chandigarh. #airtelindia,0.0
86,"12/23/2022, 16:24:09",@AmitShah sir age relaxation must be given in Chandigarh police constable  recruitment 2023 because since 2015 no notification for this recruitment . It has been seven years,0.296
87,"12/23/2022, 16:22:54","All India Media Premier League: Chandigarh journalists' cricket team register a win https://t.co/quO3OlhtBk via @PixstoryApp #AllIndiaMediaPremierLeague  #GuruGobindSinghSportsCollege #Lucknow #MediaIPL #AIMPL #T20Tournament, #AIMPL @SharadDeep4 @DwivediGulshan @duggal_saurabh",0.5859
88,"12/23/2022, 16:22:50","@BarPunjab @barcouncilindia BCPH officials are requested to please make proper arrangements for verification of documents for novice lawyers coming for registration at BCPH Chandigarh. Staff involved in verification was not cooperative to even Senior Citizens.
#Fightforjustice",0.3182
89,"12/23/2022, 16:22:38",@DrJitendraSingh age relaxation must be given in Chandigarh police constable 2023 recruitment because no notification has been released since 2015. I has been seven years,0.296
90,"12/23/2022, 16:22:27",@rishuraj_chd Sonic Boom maybe.,0.0
91,"12/23/2022, 16:21:19","Uttar Pradesh Hockey, Hockey Chandigarh and Hockey Madhya Pradesh won their respective matches on Day 3 of the qualifiers of the #KheloIndia Youth Games 2022 (Mens Under 18). https://t.co/VpSUZkhxuh",0.7579
92,"12/23/2022, 16:21:18",@NAVDEEP2730 @rishuraj_chd Sir ji it's Supersonic not Ultrasonic 🙏🏼🙏🏼,0.0
93,"12/23/2022, 16:21:14",#airtel Why Airtel broadband and mobile network down in Chandigarh.,0.0
94,"12/23/2022, 16:20:34","Wait should i believe that he got eliminated,he given interviews today ,and returned back to Chandigarh

Pagal hai kya 😑😑

Just wait for episode to come out,khabri's always do for engagement purpose through them news portals reviewers will spread 
#AnkitGupta #BiggBoss16 #BB16",0.4588
95,"12/23/2022, 16:19:39",#cycletrack and follow #TrafficRules. They were also educated to affix #reflectivetap on cycles/rickshaw/Rehri for better  #visibility at night and for their own safety.  #WeCareForYou,0.6908
96,"12/23/2022, 16:19:29","Today #CycleSafetySquad of #ChandigarhTrafficPolice conducted a #roadsafetyawarenessdrive under the supervision of DSP Jaswinder Singh (R&amp;D) at Kisan Bhawan Chowk, Batra Chowk, Lebar Chowk and sec 44C CHD. Cyclists/rehri/rickshaw-pullers were educated to move on the dedicated https://t.co/OwNGl1lcjC",0.4588
97,"12/23/2022, 16:18:59",@I_m_michael_asr @shauryatalwar24 https://t.co/tYFMz7ilyg this index shows that punjab and delhi are at highest level of wealth index Punjab is at 61 percent and delhi at 68 percent and Chandigarh close to 80 percent,0.4939
98,"12/23/2022, 16:18:14","I am facing much trouble from more than 2 weeks. Pls do the needful asap. Internet speed is too low as i m unable to open websites and android apps. Its really dissappointing. Specially in Chandigarh. @JioCare @reliancejio #RelianceJio #Jiodown #Jio @_MukeshAmbani
@TOIIndiaNews https://t.co/Mu16hC1pjJ",-0.5423
99,"12/23/2022, 16:17:13",@DrAvneetR Some men are saying Chandigarh but trust me Chandigarh is not safe at all,0.3272
100,"12/23/2022, 16:17:11","“Say No to Single-Use Plastics” Campaign &amp; Cleanliness Drive at Government Model High School, Sector 28, Chandigarh, in collaboration with the Chandigarh Municipal Corporation and Department of environment and climate change Government of Punjab
#SayNoToSingle-usePlastics https://t.co/VurCOIF0bV",-0.296
101,"12/23/2022, 16:14:54","Haaaaaa khabri yea hi Ankit hain 🥰🤌🏻 Chandigarh me iska hi shooting start hoga aur FL me khud huin !!!! Hum dono clowns ke sangsar ke upar yea story hain !! 

#AnkitGupta #PriyAnkit #bb16
NO ANKIT NO BIGG BOSS https://t.co/cjyhDdVZOf",0.5935
102,"12/23/2022, 16:14:30","Breaking #BiggBoss16   

 #AnkitGupta𓃵 will be back on #ColorsTV soon, he has been roped in to play the male lead in #SargunMehta and #RaviDubey’s next. He is expected to leave for Chandigarh soon for the shooting",0.296
103,"12/23/2022, 16:14:15","All India Media Premier League: Chandigarh journalists' cricket team register a win
https://t.co/BQigSDv0JI",0.5859
104,"12/23/2022, 16:12:56","And some are saying he left to chandigarh...lol

NO ANKIT NO BIGG BOSS 

#PriyAnkit https://t.co/546udfIIBb",-0.0803
105,"12/23/2022, 16:11:41",@arrhamaa Ankit ne Nimrit ko kaha tha first week mein ki use ek naya show offer hua hai Chandigarh mein. This is not new news.,0.0
106,"12/23/2022, 16:11:25","@Junaidbhatphoto @Mir_wasimRaja Simple. 
When in Doubt, Cut it Out. 
Always advisable to go for Veg food in Punjab/Chandigarh etc. 
Super Veg Food, all across Punjab/Chandigarh.",0.0772
107,"12/23/2022, 16:10:58","Thanks Maj Gen and all the best to you and your family!! Hope we get to finally meet in 2023, ie, not Twitter but over some nice drinks in Delhi or Chandigarh ⚡⚡🍻🥂🍻🥂 https://t.co/C0ywnIk99S",0.8684
108,"12/23/2022, 16:09:02","Each time I see #Chandigarh trending on Twitter:
Here's a tasty tongue-twister for the fine people of my city:
""Chandigarh is like a condensed cookie, crunchier than that crispy cucumber.""
Say it 6 times and treat yourself!
😂😋🥳. https://t.co/kFMVrQAkYq",0.8955
109,"12/23/2022, 16:08:58","KIYG 2022 (Men's U18), qualifiers: UP Hockey, Hockey Chandigarh, Hockey MP register win https://t.co/Adgeh3XMiH",0.5859
110,"12/23/2022, 16:08:33",@AskAnshul this is according to PVR Chandigarh and as usual he is sleeping on this issue https://t.co/C5EnOeCXXc,0.0
111,"12/23/2022, 16:07:04","KIYG 2022 (Men’s U18), qualifiers: UP Hockey, Hockey Chandigarh, Hockey MP register win https://t.co/cZUU44gtEZ #Andhrapradesh #Bihar #Chandigarh #Daman #Haryana",0.5859
112,"12/23/2022, 16:06:36","Ankit Gupta bags Colors' next serial. produced by Sargun Mehta and Ravie Dubey

It is reported that Ankit has been roped in to play the male lead in Sargun Mehta and Ravie Dubey’s next. Ankit will leave for Chandigarh today for promo shoot https://t.co/G8ewiqXy4X",-0.0516
113,"12/23/2022, 16:04:06","Kuch log bol rahe the ""EXCLUSIVE AND CONFIRMED ANKIT CHANDIGARH POHONCH GAYA""

Dimaag waise bhi sade hue hai...

NO ANKIT NO BIGG BOSS 

#AnkitGupta𓃵 #AnkitGupta #priyankit𓃵 #PriyAnkit #PriyankaChaharChoudhary𓃵 #AnkitBattalion #PriyankaPaltan https://t.co/Kb4iiWe6zx",0.2313
114,"12/23/2022, 16:03:47","KIYG 2022 (Men’s U18), qualifiers: UP Hockey, Hockey Chandigarh, Hockey MP register win https://t.co/96IZj9iw7L",0.5859
115,"12/23/2022, 16:03:35","Am very sad railway group d not selected
54 number obc
Chandigarh jone
Mera sapna tha ki mai ek din sarkari job karu....",-0.5596
116,"12/23/2022, 16:02:04","and don't pilot or tailgate an #emergencyvehicles, No Under age #juvenile driving and other #TrafficRules &amp; regulation through this program. 
#WeCareForYou",-0.296
117,"12/23/2022, 16:01:57","#reflective tapes on helmets for visibility during night to other #Motorvehicle, #noparking on #roadsafety, #cycletrack &amp; #footpath #seatbelt being mandatory for both the front &amp; rear passengers in a four-wheeler, to always give safe passage to #emergencyvehicles to go by easily",0.6808
118,"12/23/2022, 16:01:32","Today @trafficchd conducted a #roadsafetyawareness Program about #TrafficRules &amp; Regulation at Govt. Model Sr. Sec. School Sec 32 CHD. Total 75 NSS Students (Class 12th) &amp; 03 Teachers were educated about the importance of wearing proper safety headgear (#helmet), affixing https://t.co/7Mm2B8Zqy7",0.6486
119,"12/23/2022, 15:58:19","Breaking #BiggBoss16

 #AnkitGupta will be back on #ColorsTV soon, he has been roped in to play the male lead in #SargunMehta and #RaviDubey’s next. He is expected to leave for Chandigarh soon for the shooting",0.296
120,"12/23/2022, 15:55:58","In A Spare of 19hr #Ankitgupta has been evicted from the #BiggBoss house and gone to Chandigarh shot for a the promo of his new show😜 and back to the set of #BiggBoss16 but he is known as Alsi Sadasya God knows why 😂
NO ANKIT NO BIGG BOSS",0.7212
121,"12/23/2022, 15:54:00","The last 5 shows of 2022 are here :

24th Dec 4 pm - Dwarka, Delhi 
24th Dec 8 pm - Gurgaon 
25th Dec 1 pm - South Delhi 
27th Dec 9 pm - Indore
28th Dec 9 pm - Chandigarh

Ticket link you can check in the next tweet. https://t.co/oIIY6dPPwy",0.0
122,"12/23/2022, 15:50:06",Santa spreads cheer among specially abled children in Chandigarh school https://t.co/UISI8dlXKl,0.5106
123,"12/23/2022, 15:44:43","India TV has reported that #AnkitGupta already signed up for a new project before entering #BiggBoss 
He didn't expect his stay for so long. As he had committed to his project he had to be eliminated by channel &amp; makers. He has to leave for Chandigarh as shoot begins soon",-0.128
124,"12/23/2022, 15:44:38","An Interaction Session was organised by the Dept-cum-Centre for Women’s Studies and Development, Panjab University Chandigarh. The resource person for the session was Ms. Susan Ferguson, UN Women India Representative. https://t.co/j0E8CB1Hpf",0.0
125,"12/23/2022, 15:43:44","The staff and the residents of Sector 25 cluster of Girls Hostels 8, 9, 10 and International hostel organized a Prabhat Pheri to mark the upcoming Prakash Purab (birth anniversary) of Shri Guru Gobind Singh ji https://t.co/4xeoXYrH7x",0.0
126,"12/23/2022, 15:41:45","@manojkandwal @nagarkoti @MCChandigarh @ssptfcchd @ShatabdiShalee @manojkandwal sir, THL-1073 has again been apprised for further necessary action in this regard.",0.0
127,"12/23/2022, 15:40:34","After a long struggle of 27 days and 7 days of Indefinite hunger strike, @IYCChandigarh under the leadership of @LubanaManoj, State President has been successful in the fight against toll barrier movement at Chandigarh Railway Station. https://t.co/ZxHaVVg5II",-0.4767
128,"12/23/2022, 15:40:05",@Medha53183010 @_ravidubey @sargun_mehta Ravi dubey ka in chandigarh already offered him only no prii😭😭filmibeat says,-0.8126
129,"12/23/2022, 15:40:05",Santa spreads cheer among specially abled children in Chandigarh school https://t.co/Oc22zcRtwg,0.5106
130,"12/23/2022, 15:38:44",@ayushmannk I’m also from sector 40 Chandigarh had visited ur dads office in sector 40 A couple of times wish u all the best,0.7845
131,"12/23/2022, 15:34:27",@WhenVspeaks2 Chances seem low i guess because Ankit signed the contract for only 12 weeks. They are also speculating that he has signed up for a new show on Colors for which he will start shooting in Chandigarh,-0.0772
